plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,data_size,netRunTime,Data Sink,Data Source,Filter,Group by,Join,Map,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Reduce,Sort-Partition,Partition,Log_netRunTime,Log_sourceCardinalitySum
Job0v0,10GB,12.0,32493026.666666668,29186543.013319295,1.0,1.2000000000000002,37493026.0,59986052.0,59986052.0,-1.8965315802572251,-0.0887685643329547,1144739687.3333333,2387895304.708931,300.0,5998605200.0,1.0,1.0,1.0,74986052.0,899790780000000.0,37493026.0,31809942.42801065,15000000.0,59986052.0,59986052.0,0.0,59986052.0,59986052.0,59986052.0,59986052.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,59986052.0,0.0,15000000.0,0.0,0.0,0.0,10.0,44296,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,859.0909090909091,0.0,0.0,6008.571428571428,0.0,2.0,0.0,0.0,10.698649658502804,18.132812680872068
Job0v0,1GB,12.0,3250608.1666666665,2919994.5114981052,1.0,1.2000000000000002,3750607.5,6001215.0,6001215.0,-1.8966148789470565,-0.08869095504877489,114522730.0,238893937.9528068,300.0,600121500.0,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,7134,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,84.0281818181818,0.0,0.0,587.1714285714286,0.0,2.0,0.0,0.0,8.872627365918836,15.830575565385956
Job0v0,50GB,12.0,162502906.16666666,145971536.96751878,1.0,1.2000000000000002,187502905.5,300005811.0,300005811.0,-1.8965797053909108,-0.08872372506232393,5725108522.0,11942499876.008034,300.0,30000581100.0,1.0,1.0,1.0,375005811.0,2.2500435825e+16,187502905.5,159103134.76447865,75000000.0,300005811.0,300005811.0,0.0,300005811.0,300005811.0,300005811.0,300005811.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,300005811.0,0.0,75000000.0,0.0,0.0,0.0,50.0,284392,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,4364.545454545455,0.0,0.0,30530.0,0.0,2.0,0.0,0.0,12.558108847120366,19.742452079814623
Job0v0,5GB,12.0,16249898.166666666,14596749.06249436,1.0,1.2000000000000002,18749897.5,29999795.0,29999795.0,-1.8965747323386881,-0.08872835842196837,572496223.3333334,1194218505.252623,300.0,2999979500.0,1.0,1.0,1.0,37499795.0,224998462500000.0,18749897.5,15909757.619807176,7500000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,5.0,25092,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,426.6081818181819,0.0,0.0,2982.1971428571424,0.0,2.0,0.0,0.0,10.130304349216633,17.43984602425903
Job0v1,10GB,12.0,7750001.0,7590363.591722672,1.0,1.4000000000000004,8250000.0,15000000.0,15000000.0,-1.9824096421321205,-0.013841790340381646,282500083.3333333,599055459.4526634,500.0,1500000000.0,1.0,1.0,1.0,16500000.0,22500000000000.0,8250000.0,9545941.546018392,1500000.0,15000000.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",1500000.0,0.0,0.0,15000000.0,0.0,0.0,0.0,10.0,14054,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,179.39545454545453,0.0,0.0,1305.2428571428572,0.0,2.0,0.0,0.0,9.550662331752143,16.61887093887081
Job0v1,1GB,12.0,775001.0,759035.3567067275,1.0,1.4000000000000004,825000.0,1500000.0,1500000.0,-1.9824102058379565,-0.013841335164046146,28250083.333333332,59905503.50378225,500.0,150000000.0,1.0,1.0,1.0,1650000.0,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,2971,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,17.69545454545454,0.0,0.0,128.66428571428574,0.0,2.0,0.0,0.0,7.9966538754626075,14.316285845876763
Job0v1,50GB,12.0,38750001.0,37951822.41402194,1.0,1.4000000000000004,41250000.0,75000000.0,75000000.0,-1.9824095920236626,-0.013841830801420225,1412500083.3333333,2995277485.893426,500.0,7500000000.0,1.0,1.0,1.0,82500000.0,562500000000000.0,41250000.0,47729707.73009196,7500000.0,75000000.0,75000000.0,0.0,75000000.0,75000000.0,75000000.0,75000000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",7500000.0,0.0,0.0,75000000.0,0.0,0.0,0.0,50.0,44368,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,909.0909090909091,0.0,0.0,6620.0,0.0,2.0,0.0,0.0,10.70027376785556,18.22830885130491
Job0v1,5GB,12.0,3875001.0,3795181.238935405,1.0,1.4000000000000004,4125000.0,7500000.0,7500000.0,-1.9824097047674,-0.013841739764294595,141250083.33333334,299527706.1475977,500.0,750000000.0,1.0,1.0,1.0,8250000.0,5625000000000.0,4125000.0,4772970.773009196,750000.0,7500000.0,7500000.0,0.0,7500000.0,7500000.0,7500000.0,7500000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",750000.0,0.0,0.0,7500000.0,0.0,0.0,0.0,5.0,5683,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,89.4609090909091,0.0,0.0,650.887142857143,0.0,2.0,0.0,0.0,8.645234541297121,15.925723758310864
Job0v2,10GB,12.0,3500000.1666666665,5402019.706470078,1.0,150000.90000000014,1500000.0,13650000.000000006,15000000.0,1.1235916752636186,1.7419327259295225,78000000.0,79025945.10665469,1500000.0,150000000.0,1.0,1.0,1.0,16500000.0,22500000000000.0,8250000.0,9545941.546018392,1500000.0,15000000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,"['customer', 'orders']",1500000.0,0.0,0.0,15000000.0,0.0,0.0,0.0,10.0,17489,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,179.39545454545453,0.0,0.0,668.1071428571429,0.0,2.0,0.0,0.0,9.769327390849192,16.61887093887081
Job0v2,1GB,12.0,687500.1666666666,719256.0708500812,1.0,15000.900000000012,150000.0,1500000.0,1500000.0,-1.8723146694371013,0.32039366089413424,30300000.0,59065649.91600448,150000.0,150000000.0,1.0,1.0,1.0,1650000.0,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,"['customer', 'orders']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,3275,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,17.69545454545454,0.0,0.0,65.98571428571428,0.0,2.0,0.0,0.0,8.094073148069352,14.316285845876763
