plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,data_size,netRunTime,Data Sink,Data Source,Filter,Group by,Join,Map,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Reduce,Sort-Partition,Partition,Log_netRunTime,Log_sourceCardinalitySum
Job0v0,1GB,13.0,2538929.769230769,2897883.861990681,1.0,1.2000000000000002,1500000.0,6001215.0,6001215.0,-1.7580882400625157,0.38164502167415465,42508105.0,27528888.994453628,30.0,60012150.0,1.0,1.0,1.0,7501215,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,7134,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,84.0281818181818,0.0,0.0,587.1714285714286,0.0,2.0,0.0,0.0,8.872627365918836,15.830575565385956
Job0v1,1GB,13.0,600001.5384615385,742460.773377581,1.0,1.6000000000000005,150000.0,1500000.0,1500000.0,-1.7700265478901895,0.45918350849643946,10250008.333333334,7373926.701589639,50.0,15000000.0,1.0,1.0,1.0,1650000,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,4.0,0.0,4.0,4.0,4.0,4.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,2971,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,17.69545454545454,0.0,0.0,128.66428571428574,0.0,2.0,0.0,0.0,7.9966538754626075,14.316285845876763
Job0v2,1GB,13.0,519233.3846153846,683596.9207328417,1.0,4.000000000000003,150000.0,1500000.0,1500000.0,-1.3113505821223717,0.8042366932010634,6000000.0,6971370.023173351,1500000.0,15000000.0,1.0,1.0,1.0,1650000,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,16.0,0.0,16.0,16.0,16.0,16.0,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,"['customer', 'orders']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,3275,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,17.69545454545454,0.0,0.0,65.98571428571428,0.0,2.0,0.0,0.0,8.094073148069352,14.316285845876763
Job0v3,1GB,13.0,338487.23076923075,386279.60246802954,1.0,4.000000000000003,200000.0,800000.0,800000.0,-1.758088254860491,0.38164591982845647,5666916.666666667,3669232.486728889,1500.0,8000000.0,1.0,1.0,1.0,1000000,160000000000.0,500000.0,424264.0687119285,200000.0,800000.0,16.0,0.0,16.0,16.0,16.0,16.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,"['partsupp', 'part']",0.0,0.0,0.0,0.0,200000.0,800000.0,0.0,1.0,3239,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,12.92,0.0,0.0,91.25428571428574,0.0,2.0,0.0,0.0,8.08301991917133,13.815510557964274
Job0v4,1GB,13.0,201541.07692307694,281684.7420105976,1.0,4.000000000000003,200000.0,680000.0000000005,800000.0,0.8119233623847517,1.4819764327040363,2683333.3333333335,2713239.1466044174,100000.0,8000000.0,1.0,1.0,1.0,1000000,160000000000.0,500000.0,424264.0687119285,200000.0,800000.0,16.0,0.0,16.0,16.0,16.0,16.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['part', 'partsupp']",0.0,0.0,0.0,0.0,200000.0,800000.0,0.0,1.0,2702,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,12.92,0.0,0.0,50.86571428571428,0.0,2.0,0.0,0.0,7.9017475185201445,13.815510557964274
Job0v5,1GB,13.0,3851.3846153846152,5059.398803851131,1.0,1.4000000000000004,25.0,10000.0,10000.0,-1.7749968760688257,0.4743342063801854,66716.66666666667,51562.35707050897,50.0,100000.0,1.0,1.0,1.0,10025,250000.0,5012.5,7053.390142335811,25.0,10000.0,3.0,0.0,3.0,3.0,3.0,3.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['supplier', 'nation']",0.0,0.0,25.0,0.0,0.0,0.0,10000.0,1.0,2229,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,0.13999999999999999,0.0,0.0,1.4,0.0,2.0,0.0,0.0,7.709308333385869,9.21283725217477
Job0v6,1GB,13.0,2309703.923076923,3037564.65806443,1.0,3.200000000000002,10000.0,6001215.0,6001215.0,-1.774998250587473,0.4743374849076491,40024808.333333336,30964272.630992267,250.0,60012150.0,1.0,1.0,1.0,6011215,60012150000.0,3005607.5,4236428.754046561,10000.0,6001215.0,12.0,0.0,12.0,12.0,12.0,12.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,"['lineitem', 'supplier']",0.0,6001215.0,0.0,0.0,0.0,0.0,10000.0,1.0,5961,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,68.66,0.0,0.0,538.8714285714286,0.0,2.0,0.0,0.0,8.692993531219926,15.609137449140757
Job0v7,1GB,13.0,1501728.0,2120572.4882519343,1.0,4.000000000000003,1500000.0,5100972.000000004,6001215.0,0.7947753175364953,1.4735385399100804,20018691.666666668,20479160.389782015,100000.0,60012150.0,1.0,1.0,1.0,7501215,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,16.0,0.0,16.0,16.0,16.0,16.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,6133,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,84.0281818181818,0.0,0.0,337.1385714285715,0.0,2.0,0.0,0.0,8.721439305625983,15.830575565385956
Job0v8,1GB,13.0,288462.6153846154,542429.8075841301,1.0,1.4000000000000004,150000.0,1230000.0000000012,1500000.0,1.53872958358743,1.8474207378892027,3500005.0,5665682.483174467,30.0,15000000.0,1.0,1.0,1.0,1650000,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['customer', 'orders']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,5166,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,17.69545454545454,0.0,0.0,65.98571428571428,0.0,2.0,0.0,0.0,8.549853973655786,14.316285845876763
Job0v9,1GB,13.0,309236.6153846154,403840.44969425286,1.0,3.200000000000002,10000.0,800000.0,800000.0,-1.7749037159094203,0.47410692132161175,5350041.666666667,4105418.981104933,250.0,8000000.0,1.0,1.0,1.0,810000,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,12.0,0.0,12.0,12.0,12.0,12.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,1.0,2233,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307692,0.0,10.870909090909093,0.0,0.0,84.81428571428572,0.0,2.0,0.0,0.0,7.711101251840158,13.604789526648622
