plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,data_size,netRunTime,Data Sink,Data Source,Filter,Group by,Join,Map,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Reduce,Sort-Partition,Partition,Log_netRunTime,Log_sourceCardinalitySum
Job0v0,10GB,12.0,32493026.66666667,29186543.01331929,1.0,1.2000000000000002,37493026.0,59986052.0,59986052.0,-1.896531580257225,-0.0887685643329547,1144739687.3333333,2387895304.708931,300.0,5998605200.0,1.0,1.0,1.0,74986052.0,899790780000000.0,37493026.0,31809942.42801065,15000000.0,59986052.0,59986052.0,0.0,59986052.0,59986052.0,59986052.0,59986052.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,59986052.0,0.0,15000000.0,0.0,0.0,0.0,10.0,44296,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,859.0909090909091,0.0,0.0,6008.571428571428,0.0,2.0,0.0,0.0,10.698649658502806,18.132812680872068
Job0v1,10GB,12.0,7750001.0,7590363.591722673,1.0,1.4000000000000004,8250000.0,15000000.0,15000000.0,-1.9824096421321205,-0.013841790340381646,282500083.3333333,599055459.4526634,500.0,1500000000.0,1.0,1.0,1.0,16500000.0,22500000000000.0,8250000.0,9545941.546018392,1500000.0,15000000.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",1500000.0,0.0,0.0,15000000.0,0.0,0.0,0.0,10.0,14054,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,179.39545454545453,0.0,0.0,1305.2428571428572,0.0,2.0,0.0,0.0,9.550662331752145,16.61887093887081
Job0v2,10GB,12.0,3500000.166666666,5402019.706470078,1.0,150000.90000000017,1500000.0,13650000.000000006,15000000.0,1.1235916752636186,1.7419327259295223,78000000.0,79025945.10665469,1500000.0,150000000.0,1.0,1.0,1.0,16500000.0,22500000000000.0,8250000.0,9545941.546018392,1500000.0,15000000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,"['customer', 'orders']",1500000.0,0.0,0.0,15000000.0,0.0,0.0,0.0,10.0,17489,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,179.39545454545453,0.0,0.0,668.1071428571429,0.0,2.0,0.0,0.0,9.769327390849194,16.61887093887081
Job0v3,10GB,12.0,4333358.5,3892464.157255833,1.0,15.900000000000016,5000000.0,8000000.0,8000000.0,-1.8965814098161955,-0.08872213678239113,152669166.66666666,318459025.1573453,15000.0,800000000.0,1.0,1.0,1.0,10000000.0,16000000000000.0,5000000.0,4242640.6871192865,2000000.0,8000000.0,8000000.0,0.0,8000000.0,8000000.0,8000000.0,8000000.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,"['partsupp', 'part']",0.0,0.0,0.0,0.0,2000000.0,8000000.0,0.0,10.0,6492,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,131.0309090909091,0.0,0.0,926.0971428571428,0.0,2.0,0.0,0.0,8.778325928634482,16.11809565095832
Job0v4,10GB,12.0,2335000.166666666,2805408.585701453,1.0,1000.9000000000008,2000000.0,7400000.000000003,8000000.0,0.4868062497776462,1.345098169734935,50833333.33333334,79126270.39527811,1000000.0,200000000.0,1.0,1.0,1.0,10000000.0,16000000000000.0,5000000.0,4242640.6871192865,2000000.0,8000000.0,2000000.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['part', 'partsupp']",0.0,0.0,0.0,0.0,2000000.0,8000000.0,0.0,10.0,7509,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,131.0309090909091,0.0,0.0,515.2428571428571,0.0,2.0,0.0,0.0,8.923857580099885,16.11809565095832
Job0v5,10GB,12.0,50005.16666666666,52217.900955050995,1.0,1.4000000000000004,50012.5,100000.0,100000.0,-1.999999911815684,-6.614407948395943e-08,1866791.666666667,4002762.3849557526,250.0,10000000.0,1.0,1.0,1.0,100025.0,2500000.0,50012.5,70693.00044912509,25.0,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['supplier', 'nation']",0.0,0.0,25.0,0.0,0.0,0.0,100000.0,10.0,2098,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,1.4080000000000001,0.0,0.0,14.080000000000002,0.0,2.0,0.0,0.0,7.648739788956242,11.513175433725436
Job0v6,10GB,12.0,30009697.0,31309301.02715597,1.0,3.4000000000000017,30043026.0,59986052.0,59986052.0,-1.9999950607274732,-3.7072032965414717e-06,1119906720.6666667,2401047615.680741,2500.0,5998605200.0,1.0,1.0,1.0,60086052.0,5998605200000.0,30043026.0,42345833.46769021,100000.0,59986052.0,59986052.0,0.0,59986052.0,59986052.0,59986052.0,59986052.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,"['lineitem', 'supplier']",0.0,59986052.0,0.0,0.0,0.0,0.0,100000.0,10.0,40065,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,703.0981818181817,0.0,0.0,5518.308571428572,0.0,2.0,0.0,0.0,10.598258414212172,17.911288292703848
Job0v7,10GB,12.0,17499342.166666668,21045252.874137834,1.0,1000.9000000000008,15000000.0,55487446.80000001,59986052.0,0.4842841761142838,1.3434075301174997,380143420.0,594260805.5120063,1000000.0,1500000000.0,1.0,1.0,1.0,74986052.0,899790780000000.0,37493026.0,31809942.42801065,15000000.0,59986052.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['orders', 'lineitem']",0.0,59986052.0,0.0,15000000.0,0.0,0.0,0.0,10.0,44099,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,859.0909090909091,0.0,0.0,3441.4285714285716,0.0,2.0,0.0,0.0,10.694192385440877,18.132812680872068
Job0v8,10GB,12.0,3250000.666666666,5532958.669316532,1.0,1.2000000000000002,1500000.0,13650000.000000006,15000000.0,1.0872865517127952,1.7237503914876593,53000050.0,75333217.37464158,300.0,150000000.0,1.0,1.0,1.0,16500000.0,22500000000000.0,8250000.0,9545941.546018392,1500000.0,15000000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['customer', 'orders']",1500000.0,0.0,0.0,15000000.0,0.0,0.0,0.0,10.0,39913,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,179.39545454545453,0.0,0.0,668.1071428571429,0.0,2.0,0.0,0.0,10.594457364348266,16.61887093887081
Job0v9,10GB,12.0,4016671.0,4160597.082744473,1.0,3.4000000000000017,4050000.0,8000000.0,8000000.0,-1.999722337223431,-0.00020941844083584743,149500416.66666666,320133332.38049686,2500.0,800000000.0,1.0,1.0,1.0,8100000.0,800000000000.0,4050000.0,5586143.571373725,100000.0,8000000.0,8000000.0,0.0,8000000.0,8000000.0,8000000.0,8000000.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,8000000.0,100000.0,10.0,7061,1,2,0.0,1.0,1.0,6,13,12,8,13.692307692307693,0.0,110.37090909090908,0.0,0.0,861.1657142857142,0.0,2.0,0.0,0.0,8.862341963516348,15.907374619642669
