plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,data_size,netRunTime,Data Sink,Data Source,Join,Map,Reduce,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Filter,Group by,Sort-Partition,Partition,Log_netRunTime,Log_sourceCardinalitySum
Job0v0,3GB,13.0,8413381.615384616,9268361.18641047,1.0,1.2000000000000002,6326545.0,19344171.0,19344171.0,-1.758480879220647,0.3201503036529483,139505390.0,85919467.87578331,50.0,193441710.0,1.0,1.0,1.0,25670716,122381768319195.0,12835358.0,9204851.619550312,6326545.0,19344171.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['title.akas', 'title.basics']",0.0,19344171.0,6326545.0,0.0,0.0,3.0,57748,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,129.3409090909091,0.0,0.0,785.8585714285713,0.0,0.0,1.0,0.0,0.0,10.963843995749706,17.06086144493983
Job0v1,3GB,14.0,2472444.8571428573,3006494.620279976,1.0,3.4000000000000004,993821.0,6326545.0,6326545.0,-1.639566643350531,0.5459629502007043,38991188.571428575,30456020.716598567,100.0,63265450.0,1.0,1.0,1.0,7320366,6287453278445.0,3660183.0,3770805.3025962505,993821.0,6326545.0,9.0,0.0,9.0,9.0,9.0,9.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,"['title.basics', 'title.ratings']",0.0,0.0,6326545.0,0.0,993821.0,3.0,5649,1,2,1.0,7,2.0,14,13,8,13.857142857142858,0.0,46.2075,0.0,0.0,342.32874999999996,0.0,0.0,1.0,0.0,0.0,8.639233817325263,15.806170884687536
Job0v10,3GB,13.0,13055407.76923077,13903458.221758518,1.0,2.000000000000001,19344171.0,33068597.400000013,36499704.0,-1.1002743912557984,0.44096750864996787,189794000.0,115560413.00001693,120.0,364997040.0,1.0,1.0,1.0,55843875,706056515625384.0,27921937.5,12130793.719169594,19344171.0,36499704.0,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,"['title.akas', 'title.principals']",0.0,19344171.0,0.0,36499704.0,0.0,3.0,56667,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,225.92454545454547,0.0,0.0,1089.4071428571428,0.0,0.0,1.0,0.0,0.0,10.944947309699929,17.838070408709832
Job0v11,3GB,14.0,2472445.0,3006494.493762308,1.0,3.7,993821.0,6326545.0,6326545.0,-1.6395666446325927,0.5459629789338315,38991188.571428575,30456020.716598567,100.0,63265450.0,1.0,1.0,1.0,7320366,6287453278445.0,3660183.0,3770805.3025962505,993821.0,6326545.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,"['title.basics', 'title.ratings']",0.0,0.0,6326545.0,0.0,993821.0,3.0,5009,1,2,1.0,7,2.0,14,13,8,13.857142857142858,0.0,46.2075,0.0,0.0,342.32874999999996,0.0,0.0,1.0,0.0,0.0,8.518991573357617,15.806170884687536
Job0v12,3GB,13.0,9350350.923076924,12908003.701183468,1.0,2.6000000000000014,9711022.0,31141967.60000002,36499704.0,0.6827043949180185,1.4162978378309106,125573006.66666667,123558033.73534991,120.0,364997040.0,1.0,1.0,1.0,46210726,354449428537488.0,23105363.0,18942458.701250006,9711022.0,36499704.0,9.0,0.0,9.0,9.0,9.0,9.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,"['name.basics', 'title.principals']",9711022.0,0.0,0.0,36499704.0,0.0,3.0,58777,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,198.18,0.0,0.0,871.4142857142857,0.0,0.0,1.0,0.0,0.0,10.981505900902489,17.648722493608123
Job0v13,3GB,13.0,6593457.307692308,13336168.538897203,1.0,4.000000000000003,993821.0,29974403.000000022,36499704.0,1.6019006828003075,1.8807367887152995,73913645.0,143065521.23207182,9938210.0,364997040.0,1.0,1.0,1.0,37493525,36274172328984.0,18746762.5,25106450.641316157,993821.0,36499704.0,16.0,0.0,16.0,16.0,16.0,16.0,3873199.0,0.0,3873199.0,3873199.0,0.0,0.0,0.0,0.0,"['title.ratings', 'title.principals']",0.0,0.0,0.0,36499704.0,993821.0,3.0,16809,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,146.9918181818182,0.0,0.0,469.2214285714286,0.0,0.0,1.0,0.0,0.0,9.729669736233394,17.43967880936537
Job0v14,3GB,13.0,15535380.615384616,17588409.938497208,1.0,4.000000000000003,9711022.0,36499704.0,36499704.0,-1.7575852017966016,0.369932524689326,259549188.33333334,166208966.8983623,196750.0,364997040.0,1.0,1.0,1.0,46210726,354449428537488.0,23105363.0,18942458.701250006,9711022.0,36499704.0,16.0,0.0,16.0,16.0,16.0,16.0,19675.0,0.0,19675.0,19675.0,0.0,0.0,0.0,0.0,"['title.principals', 'name.basics']",9711022.0,0.0,0.0,36499704.0,0.0,3.0,17263,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,198.18,0.0,0.0,1308.5657142857142,0.0,0.0,1.0,0.0,0.0,9.756320761816548,17.648722493608123
Job0v15,3GB,13.0,13933982.846153846,13154974.445107972,1.0,4.000000000000003,19344171.0,33068597.400000013,36499704.0,-0.9416490211194706,0.4510963341501108,199311880.0,97787035.90927747,57107400.0,364997040.0,1.0,1.0,1.0,55843875,706056515625384.0,27921937.5,12130793.719169594,19344171.0,36499704.0,16.0,0.0,16.0,16.0,16.0,16.0,5710740.0,0.0,5710740.0,5710740.0,0.0,0.0,0.0,0.0,"['title.akas', 'title.principals']",0.0,19344171.0,0.0,36499704.0,0.0,3.0,21919,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,225.92454545454547,0.0,0.0,1089.4071428571428,0.0,0.0,1.0,0.0,0.0,9.995109119583352,17.838070408709832
Job0v16,3GB,13.0,8048628.846153846,12982157.949855503,1.0,2.4000000000000012,6326545.0,30465072.20000002,36499704.0,1.245194699113652,1.7009069883082033,103009826.66666667,130818012.15750508,120.0,364997040.0,1.0,1.0,1.0,42826249,230917019842680.0,21413124.5,21335645.33871991,6326545.0,36499704.0,8.0,0.0,8.0,8.0,8.0,8.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,"['title.basics', 'title.principals']",0.0,0.0,6326545.0,36499704.0,0.0,3.0,54101,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,194.32545454545453,0.0,0.0,841.1285714285714,0.0,0.0,1.0,0.0,0.0,10.898607948952096,17.5726617669564
Job0v17,3GB,13.0,10228925.538461538,12386147.163145902,1.0,4.000000000000003,9711022.0,31141967.60000002,36499704.0,0.8250701977611814,1.451301069391239,135090886.66666666,113761494.09619947,57107400.0,364997040.0,1.0,1.0,1.0,46210726,354449428537488.0,23105363.0,18942458.701250006,9711022.0,36499704.0,16.0,0.0,16.0,16.0,16.0,16.0,5710740.0,0.0,5710740.0,5710740.0,0.0,0.0,0.0,0.0,"['name.basics', 'title.principals']",9711022.0,0.0,0.0,36499704.0,0.0,3.0,19506,1,2,1.0,6,2.0,13,12,8,13.692307692307692,0.0,198.18,0.0,0.0,871.4142857142857,0.0,0.0,1.0,0.0,0.0,9.87847738953196,17.648722493608123
