plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,data_size,netRunTime,Data Sink,Data Source,Filter,Map,Reduce,n_nodes,n_edges,longest_path_len,avg_parallelism,Network,Disk I/O,CPU,Cumulative Network,Cumulative Disk I/O,Cumulative CPU,Group by,Join,Sort-Partition,Log_netRunTime,Log_sourceCardinalitySum
Job0v0,1GB,12.0,3250608.1666666665,2919994.5114981052,1.0,1.2000000000000002,3750607.5,6001215.0,6001215.0,-1.8966148789470565,-0.08869095504877489,114522730.0,238893937.9528068,300.0,600121500.0,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,9365,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,84.0281818181818,0.0,0.0,587.1714285714286,0.0,1.0,1.0,0.0,9.144734614878189,15.830575565385956
Job0v1,1GB,12.0,775001.0,759035.3567067275,1.0,1.4000000000000004,825000.0,1500000.0,1500000.0,-1.9824102058379565,-0.013841335164046146,28250083.333333332,59905503.50378225,500.0,150000000.0,1.0,1.0,1.0,1650000.0,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['orders', 'customer']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,4508,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,17.69545454545454,0.0,0.0,128.66428571428574,0.0,1.0,1.0,0.0,8.413608875159667,14.316285845876763
Job0v10,1GB,12.0,266666.8333333333,260535.3928149541,1.0,20000.90000000002,200000.0,740000.0000000001,800000.0,0.7040851749280623,1.412669877883774,8400000.0,9431012.670970175,200000.0,20000000.0,1.0,1.0,1.0,1000000.0,160000000000.0,500000.0,424264.0687119285,200000.0,800000.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,"['part', 'partsupp']",0.0,0.0,0.0,0.0,200000.0,800000.0,0.0,1.0,3469,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,12.92,0.0,0.0,50.86571428571428,0.0,1.0,1.0,0.0,8.15162164696975,13.815510557964274
Job0v11,1GB,12.0,140000.16666666666,308309.0893009904,1.0,1000.9000000000009,10000.0,721000.0000000002,800000.0,1.1989041834276852,1.788235524371767,1686666.6666666667,3128614.1767029483,10000.0,8000000.0,1.0,1.0,1.0,810000.0,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['supplier', 'partsupp']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,1.0,3103,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,10.870909090909093,0.0,0.0,34.76571428571429,0.0,1.0,1.0,0.0,8.04012466444838,13.604789526648622
Job0v12,1GB,12.0,3500607.6666666665,2663498.0489821117,1.0,150000.90000000014,3750607.5,6001215.0,6001215.0,-1.8196164061266833,-0.12062962844906175,139522680.0,232269168.2796193,6001215.0,600121500.0,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,8829,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,84.0281818181818,0.0,0.0,587.1714285714286,0.0,1.0,1.0,0.0,9.085797036901582,15.830575565385956
Job0v13,1GB,12.0,1751869.3333333333,2104126.0120311384,1.0,1000.9000000000009,1500000.0,5551093.500000001,6001215.0,0.4879279325446544,1.345848623734014,38168691.666666664,59314187.18376251,1000000.0,150000000.0,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,1.0,7549,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,84.0281818181818,0.0,0.0,337.1385714285715,0.0,1.0,1.0,0.0,8.929170383139624,15.830575565385956
Job0v14,1GB,12.0,75005.16666666667,78329.54915650036,1.0,1.4000000000000004,75012.5,150000.0,150000.0,-1.9999999608079386,-2.93957769434232e-08,2800125.0,6004178.54862345,250.0,15000000.0,1.0,1.0,1.0,150025.0,3750000.0,75012.5,106048.33950845247,25.0,150000.0,150000.0,0.0,150000.0,150000.0,150000.0,150000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,"['customer', 'nation']",150000.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,2637,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,2.42,0.0,0.0,24.2,0.0,1.0,1.0,0.0,7.877397186353287,11.918557225857713
Job0v15,1GB,12.0,401671.0,416055.60100019845,1.0,3.400000000000002,405000.0,800000.0,800000.0,-1.9997229772269198,-0.00020893435072178715,14950416.666666666,32013123.106652163,2500.0,80000000.0,1.0,1.0,1.0,810000.0,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,800000.0,0.0,800000.0,800000.0,800000.0,800000.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,1.0,3068,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,10.870909090909093,0.0,0.0,84.81428571428572,0.0,1.0,1.0,0.0,8.028781162487148,13.604789526648622
Job0v16,1GB,12.0,235000.16666666666,279203.25929356826,1.0,1000.9000000000009,200000.0,740000.0000000001,800000.0,0.5094560502810657,1.3599364302843289,5233333.333333333,7807090.794058096,200000.0,20000000.0,1.0,1.0,1.0,1000000.0,160000000000.0,500000.0,424264.0687119285,200000.0,800000.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,"['part', 'partsupp']",0.0,0.0,0.0,0.0,200000.0,800000.0,0.0,1.0,2969,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,12.92,0.0,0.0,50.86571428571428,0.0,1.0,1.0,0.0,7.99598047476376,13.815510557964274
Job0v17,1GB,12.0,187500.16666666666,298271.4215429337,1.0,1000.9000000000009,10000.0,740000.0000000001,800000.0,0.6201441651649517,1.497221121527828,4853333.333333333,8045882.590907394,10000.0,20000000.0,1.0,1.0,1.0,810000.0,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,"['supplier', 'partsupp']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,1.0,2916,1,2,0.0,6,2.0,13,12,8,13.692307692307692,0.0,10.870909090909093,0.0,0.0,34.76571428571429,0.0,1.0,1.0,0.0,7.977968093128549,13.604789526648622
